feature,n,borderline_mean,borderline_std,borderline_median
vein_total_vol_proxy_mm3,12,58864.15262858073,60363.83909796397,43319.591796875
vein_vol_mL,12,4536.198848224746,14422.932209858533,189.89839576853007
vessel_airway_over_lung,12,1.7898415018194382,5.425416261989781,0.11189523495165796
vessel_airway_vol_mL,12,4789.843316268279,14346.587282436023,439.9957898953749
whole_HU_p25,12,-888.5833333333334,65.01597026030518,-896.5
whole_HU_p5,12,-935.0,55.57877292636101,-946.5
whole_HU_p50,12,-846.9166666666666,70.7359624864813,-859.5
whole_HU_p75,12,-791.25,78.94420498047973,-811.5
whole_HU_p95,12,-642.9166666666666,64.81056798256147,-655.5
whole_LAA_856_frac,12,0.482762021378873,0.29729274884269613,0.5209657713587205
whole_LAA_910_frac,12,0.26164250522647736,0.2268268332501334,0.18017396444749212
whole_LAA_950_frac,12,0.11687106199562386,0.12627669193631336,0.04153619047470525
whole_mean_HU,12,-828.779062906901,67.48765521567178,-842.0957641601562
whole_n_voxels,12,16954869.916666668,13018848.864033073,13786430.0
whole_std_HU,12,89.0239741007487,6.160103418573648,87.3174934387207
