feature,n,spearman_rho,p_raw,perm_p,p_holm,holm_sig,p_fdr,fdr_sig,abs_rho
middle_LAA_950_frac,99,-0.029916243420175136,0.768797425896943,0.792,1.0,False,0.8431971767901956,False,0.029916243420175136
vein_diam_sd,102,-0.02956995224441408,0.7679741930243481,0.752,1.0,False,0.8431971767901956,False,0.02956995224441408
airway_diam_p75_legR17,99,0.02858469694769966,0.7788182316296243,0.774,1.0,False,0.8460037806846606,False,0.02858469694769966
vein_n_nodes,102,0.027328083414298408,0.7851226914732061,0.77,1.0,False,0.8460037806846606,False,0.027328083414298408
artery_total_vol_proxy_mm3,102,-0.027176517533471264,0.7862858667539787,0.782,1.0,False,0.8460037806846606,False,0.027176517533471264
artery_diam_p25,102,-0.025309656749390928,0.8006506682121238,0.772,1.0,False,0.8560415949437802,False,0.025309656749390928
artery_tort_p75,102,0.018247817831656216,0.8555531176723189,0.864,1.0,False,0.9066911285347936,False,0.018247817831656216
basal_LAA_950_frac,99,0.0175635702992257,0.8630058008080769,0.878,1.0,False,0.9066911285347936,False,0.0175635702992257
vein_total_vol_proxy_mm3,102,-0.017167094356975186,0.8640233107213915,0.854,1.0,False,0.9066911285347936,False,0.017167094356975186
whole_HU_p5,102,0.01644121937174028,0.8697210851870761,0.894,1.0,False,0.9070710704405089,False,0.01644121937174028
whole_LAA_950_frac,102,-0.015039596836137125,0.8807417783533564,0.896,1.0,False,0.9129640385370158,False,0.015039596836137125
vein_tort_sd,102,-0.012974339934259756,0.897021443800849,0.882,1.0,False,0.9242039117948142,False,0.012974339934259756
paren_HU_p5,99,0.011796856202980984,0.9077392944125557,0.914,1.0,False,0.9296125304224969,False,0.011796856202980984
airway_lap_eig2_legR17,102,-0.0020796082914982922,0.9834497252883239,0.986,1.0,False,0.9986903036500502,False,0.0020796082914982922
airway_diam_p10_legR17,99,0.0012636743486163535,0.9900955395514394,0.994,1.0,False,0.9986903036500502,False,0.0012636743486163535
vein_max_degree,102,0.0006476167806999493,0.9948457027391218,0.996,1.0,False,0.9986903036500502,False,0.0006476167806999493
paren_LAA_950_frac,99,0.00016709527768819378,0.9986903036500502,1.0,1.0,False,0.9986903036500502,False,0.00016709527768819378
airway_n_components_legR17,99,,,0.0,,False,,False,
airway_tortuosity_proxy_legR17,99,,,0.0,,False,,False,
