cluster_method,variable,type,test,stat,pvalue,n,n_groups
gmm_k3,动脉(右上肺叶)平均密度(HU),numeric,kruskal,2.49974207240098,0.286541747989999,95,3
gmm_k3,动脉(右下肺叶)容积(ml),numeric,kruskal,2.459783138687002,0.2923242728752814,95,3
gmm_k3,左右肺代,numeric,kruskal,2.451557631979023,0.2935290061963598,95,3
gmm_k3,右肺血管体积(ml),numeric,kruskal,2.449418358004389,0.29384314365480924,95,3
gmm_k3,TPR,numeric,kruskal,2.4330097746468593,0.29626383496381314,103,3
gmm_k3,序列号_y,numeric,kruskal,2.4314455363377734,0.2964956392213953,95,3
gmm_k3,左右肺血管体积(ml),numeric,kruskal,2.4228314010368974,0.2977754200705134,95,3
gmm_k3,右中肺叶支气管数量,numeric,kruskal,2.3997447336978315,0.3012326567319215,95,3
gmm_k3,右中肺叶支气管长度(cm),numeric,kruskal,2.3974587529918794,0.30157715959678716,95,3
gmm_k3,动脉BV10(ml)_y,numeric,kruskal,2.397071544969151,0.30163555179692064,95,3
gmm_k3,death_time,categorical,chi2,6.000000000000001,0.3062189184132777,6,2
gmm_k3,左上肺叶代,numeric,kruskal,2.3166436695049106,0.31401270416992144,95,3
gmm_k3,左右肺支气管体积(ml),numeric,kruskal,2.294036583336225,0.317582296815486,95,3
gmm_k3,右肺肺组织体积(ml)_y,numeric,kruskal,2.2940321406282465,0.31758300227897146,95,3
gmm_k3,右肺质量(g)_y,numeric,kruskal,2.2940321406282465,0.31758300227897146,95,3
gmm_k3,左上肺叶支气管数量,numeric,kruskal,2.273732693321176,0.32082279568028316,95,3
gmm_k3,肺血管BV10+(ml)_y,numeric,kruskal,2.2679997919699986,0.3217437376865436,95,3
gmm_k3,动脉(右中肺叶)弯曲度,numeric,kruskal,2.226233134531983,0.3285334672451899,95,3
gmm_k3,静脉弯曲度,numeric,kruskal,2.2023924594259094,0.33247313148576146,95,3
gmm_k3,左上肺叶支气管长度(cm),numeric,kruskal,2.11885605942344,0.3466540294420857,95,3
gmm_k3,左右肺支气管长度(cm),numeric,kruskal,2.050142947682692,0.3587708217607435,95,3
gmm_k3,动脉(右上肺叶)最大密度(HU),numeric,kruskal,2.0305468663650115,0.3623033505291553,95,3
gmm_k3,GOLD分级（-1为正常，0为PRISm，1为轻，2为中，3为重，4为极重）,categorical,chi2,2.0,0.36787944117144245,4,2
gmm_k3,吸烟史（0不吸烟，1吸烟已戒烟，2吸烟）,categorical,chi2,2.0,0.36787944117144245,4,2
gmm_k3,ALB,numeric,kruskal,1.998403507406969,0.3681732168099799,105,3
gmm_k3,左右肺支气管数量,numeric,kruskal,1.9556053127521,0.3761366930263206,95,3
gmm_k3,动脉(右中肺叶)容积(ml),numeric,kruskal,1.9522248265681723,0.376772993072733,95,3
gmm_k3,动脉(左下肺叶)最大密度(HU),numeric,kruskal,1.8718382035615624,0.392225204930688,95,3
gmm_k3,PVR,numeric,kruskal,1.8484646284669128,0.3968359474775082,104,3
gmm_k3,左肺支气管体积(ml).1,numeric,kruskal,1.8377336003051141,0.39897089877525327,95,3
gmm_k3,PH,categorical,chi2,1.8310841205578057,0.4002995807679136,105,3
gmm_k3,WHO Group,categorical,chi2,1.8310841205578055,0.40029958076791367,105,3
gmm_k3,Ca,numeric,kruskal,1.8290770245860157,0.40070150224596107,57,3
gmm_k3,动脉(右下肺叶)血管分支数量,numeric,kruskal,1.8250677377880455,0.4015055715342283,95,3
gmm_k3,静脉BV5(ml)_y,numeric,kruskal,1.8142886242285385,0.4036753504304935,95,3
gmm_k3,左右肺支气管数量[D<2mm],numeric,kruskal,1.7972708812048064,0.4071248268837028,95,3
gmm_k3,动脉(左下肺叶)平均密度(HU),numeric,kruskal,1.7495744053809972,0.4169507362337167,95,3
gmm_k3,检查日期_x,numeric,kruskal,1.7403787886309994,0.4188722097192067,105,3
gmm_k3,肺血管BV10(ml)_y,numeric,kruskal,1.7348614867207743,0.4200293272484873,95,3
